Symbol,Period,Metric,Value
AAPL,2017-09,Cash and Equivalents,20289
AAPL,2017-09,Investments Current,53892
AAPL,2017-09,Trade and Non-Trade Receivables,35673
AAPL,2017-09,Inventory,4855
AAPL,2017-09,Current Assets,128645
AAPL,2017-09,Property, Plant & Equipment Net,33783
AAPL,2017-09,Goodwill and Intangible Assets,8015
AAPL,2017-09,Investments Non-Current,194714
AAPL,2017-09,Tax Assets,0
AAPL,2017-09,Assets Non-Current,246674
AAPL,2017-09,Total Assets,375319
AAPL,2017-09,Trade and Non-Trade Payables,49049
AAPL,2017-09,Debt Current,18473
AAPL,2017-09,Current Liabilities,100814
AAPL,2017-09,Debt Non-Current,97207
AAPL,2017-09,Deferred Revenue,10384
AAPL,2017-09,Tax Liabilities,0
AAPL,2017-09,Deposit Liabilities,0
AAPL,2017-09,Liabilities Non-Current,140458
AAPL,2017-09,Total Liabilities,241272
AAPL,2017-09,Accumulated Other Comprehensive Income,-150
AAPL,2017-09,Accumulated Retained Earnings (Deficit),98330
AAPL,2017-09,Shareholders Equity,134047
AAPL,2017-09,Investments,248606
AAPL,2017-09,Total Debt,115680
AAPL,2017-09,Cash and Short Term Investments,74181
AAPL,2017-07,Cash and Equivalents,18571
AAPL,2017-07,Investments Current,58188
AAPL,2017-07,Trade and Non-Trade Receivables,22632
AAPL,2017-07,Inventory,3146
AAPL,2017-07,Current Assets,112875
AAPL,2017-07,Property, Plant & Equipment Net,29286
AAPL,2017-07,Goodwill and Intangible Assets,8105
AAPL,2017-07,Investments Non-Current,184757
AAPL,2017-07,Tax Assets,0
AAPL,2017-07,Assets Non-Current,232298
AAPL,2017-07,Total Assets,345173
AAPL,2017-07,Trade and Non-Trade Payables,31915
AAPL,2017-07,Debt Current,18475
AAPL,2017-07,Current Liabilities,81302
AAPL,2017-07,Debt Non-Current,89864
AAPL,2017-07,Deferred Revenue,10592
AAPL,2017-07,Tax Liabilities,0
AAPL,2017-07,Deposit Liabilities,0
AAPL,2017-07,Liabilities Non-Current,131446
AAPL,2017-07,Total Liabilities,212748
AAPL,2017-07,Accumulated Other Comprehensive Income,-545
AAPL,2017-07,Accumulated Retained Earnings (Deficit),98525
AAPL,2017-07,Shareholders Equity,132425
AAPL,2017-07,Investments,242945
AAPL,2017-07,Total Debt,108339
AAPL,2017-07,Cash and Short Term Investments,76759
AAPL,2017-04,Cash and Equivalents,15157
AAPL,2017-04,Investments Current,51944
AAPL,2017-04,Trade and Non-Trade Receivables,20612
AAPL,2017-04,Inventory,2910
AAPL,2017-04,Current Assets,101990
AAPL,2017-04,Property, Plant & Equipment Net,27163
AAPL,2017-04,Goodwill and Intangible Assets,8090
AAPL,2017-04,Investments Non-Current,189740
AAPL,2017-04,Tax Assets,0
AAPL,2017-04,Assets Non-Current,232542
AAPL,2017-04,Total Assets,334532
AAPL,2017-04,Trade and Non-Trade Payables,28573
AAPL,2017-04,Debt Current,13991
AAPL,2017-04,Current Liabilities,73342
AAPL,2017-04,Debt Non-Current,84531
AAPL,2017-04,Deferred Revenue,10789
AAPL,2017-04,Tax Liabilities,0
AAPL,2017-04,Deposit Liabilities,0
AAPL,2017-04,Liabilities Non-Current,127108
AAPL,2017-04,Total Liabilities,200450
AAPL,2017-04,Accumulated Other Comprehensive Income,-422
AAPL,2017-04,Accumulated Retained Earnings (Deficit),100925
AAPL,2017-04,Shareholders Equity,134082
AAPL,2017-04,Investments,241684
AAPL,2017-04,Total Debt,98522
AAPL,2017-04,Cash and Short Term Investments,67101
AAPL,2016-12,Cash and Equivalents,16371
AAPL,2016-12,Investments Current,44081
AAPL,2016-12,Trade and Non-Trade Receivables,27977
AAPL,2016-12,Inventory,2712
AAPL,2016-12,Current Assets,103332
AAPL,2016-12,Property, Plant & Equipment Net,26510
AAPL,2016-12,Goodwill and Intangible Assets,8271
AAPL,2016-12,Investments Non-Current,185638
AAPL,2016-12,Tax Assets,0
AAPL,2016-12,Assets Non-Current,227809
AAPL,2016-12,Total Assets,331141
AAPL,2016-12,Trade and Non-Trade Payables,38510
AAPL,2016-12,Debt Current,13992
AAPL,2016-12,Current Liabilities,84130
AAPL,2016-12,Debt Non-Current,73557
AAPL,2016-12,Deferred Revenue,11052
AAPL,2016-12,Tax Liabilities,0
AAPL,2016-12,Deposit Liabilities,0
AAPL,2016-12,Liabilities Non-Current,114621
AAPL,2016-12,Total Liabilities,198751
AAPL,2016-12,Accumulated Other Comprehensive Income,245
AAPL,2016-12,Accumulated Retained Earnings (Deficit),100001
AAPL,2016-12,Shareholders Equity,132390
AAPL,2016-12,Investments,229719
AAPL,2016-12,Total Debt,87549
AAPL,2016-12,Cash and Short Term Investments,60452
AAPL,2016-09,Cash and Equivalents,20484
AAPL,2016-09,Investments Current,46671
AAPL,2016-09,Trade and Non-Trade Receivables,29299
AAPL,2016-09,Inventory,2132
AAPL,2016-09,Current Assets,106869
AAPL,2016-09,Property, Plant & Equipment Net,27010
AAPL,2016-09,Goodwill and Intangible Assets,8620
AAPL,2016-09,Investments Non-Current,170430
AAPL,2016-09,Tax Assets,0
AAPL,2016-09,Assets Non-Current,214817
AAPL,2016-09,Total Assets,321686
AAPL,2016-09,Trade and Non-Trade Payables,37294
AAPL,2016-09,Debt Current,11605
AAPL,2016-09,Current Liabilities,79006
AAPL,2016-09,Debt Non-Current,75427
AAPL,2016-09,Deferred Revenue,11010
AAPL,2016-09,Tax Liabilities,0
AAPL,2016-09,Deposit Liabilities,0
AAPL,2016-09,Liabilities Non-Current,114431
AAPL,2016-09,Total Liabilities,193437
AAPL,2016-09,Accumulated Other Comprehensive Income,634
AAPL,2016-09,Accumulated Retained Earnings (Deficit),96364
AAPL,2016-09,Shareholders Equity,128249
AAPL,2016-09,Investments,217101
AAPL,2016-09,Total Debt,87032
AAPL,2016-09,Cash and Short Term Investments,67155
AAPL,2016-06,Cash and Equivalents,18237
AAPL,2016-06,Investments Current,43519
AAPL,2016-06,Trade and Non-Trade Receivables,19042
AAPL,2016-06,Inventory,1831
AAPL,2016-06,Current Assets,93761
AAPL,2016-06,Property, Plant & Equipment Net,25448
AAPL,2016-06,Goodwill and Intangible Assets,8767
AAPL,2016-06,Investments Non-Current,169764
AAPL,2016-06,Tax Assets,0
AAPL,2016-06,Assets Non-Current,211841
AAPL,2016-06,Total Assets,305602
AAPL,2016-06,Trade and Non-Trade Payables,26318
AAPL,2016-06,Debt Current,15996
AAPL,2016-06,Current Liabilities,71486
AAPL,2016-06,Debt Non-Current,68939
AAPL,2016-06,Deferred Revenue,11416
AAPL,2016-06,Tax Liabilities,0
AAPL,2016-06,Deposit Liabilities,0
AAPL,2016-06,Liabilities Non-Current,107575
AAPL,2016-06,Total Liabilities,179061
AAPL,2016-06,Accumulated Other Comprehensive Income,-107
AAPL,2016-06,Accumulated Retained Earnings (Deficit),96542
AAPL,2016-06,Shareholders Equity,126541
AAPL,2016-06,Investments,213283
AAPL,2016-06,Total Debt,84935
AAPL,2016-06,Cash and Short Term Investments,61756
AAPL,2016-03,Cash and Equivalents,21514
AAPL,2016-03,Investments Current,33769
AAPL,2016-03,Trade and Non-Trade Receivables,19824
AAPL,2016-03,Inventory,2281
AAPL,2016-03,Current Assets,87592
AAPL,2016-03,Property, Plant & Equipment Net,23203
AAPL,2016-03,Goodwill and Intangible Assets,9092
AAPL,2016-03,Investments Non-Current,177645
AAPL,2016-03,Tax Assets,0
AAPL,2016-03,Assets Non-Current,217685
AAPL,2016-03,Total Assets,305277
AAPL,2016-03,Trade and Non-Trade Payables,25098
AAPL,2016-03,Debt Current,10498
AAPL,2016-03,Current Liabilities,68265
AAPL,2016-03,Debt Non-Current,69374
AAPL,2016-03,Deferred Revenue,12783
AAPL,2016-03,Tax Liabilities,0
AAPL,2016-03,Deposit Liabilities,0
AAPL,2016-03,Liabilities Non-Current,106555
AAPL,2016-03,Total Liabilities,174820
AAPL,2016-03,Accumulated Other Comprehensive Income,-1048
AAPL,2016-03,Accumulated Retained Earnings (Deficit),102021
AAPL,2016-03,Shareholders Equity,130457
AAPL,2016-03,Investments,211414
AAPL,2016-03,Total Debt,79872
AAPL,2016-03,Cash and Short Term Investments,55283
AAPL,2015-12,Cash and Equivalents,16689
AAPL,2015-12,Investments Current,21385
AAPL,2015-12,Trade and Non-Trade Receivables,24621
AAPL,2015-12,Inventory,2451
AAPL,2015-12,Current Assets,76219
AAPL,2015-12,Property, Plant & Equipment Net,22300
AAPL,2015-12,Goodwill and Intangible Assets,9126
AAPL,2015-12,Investments Non-Current,177665
AAPL,2015-12,Tax Assets,0
AAPL,2015-12,Assets Non-Current,217065
AAPL,2015-12,Total Assets,293284
AAPL,2015-12,Trade and Non-Trade Payables,33312
AAPL,2015-12,Debt Current,9759
AAPL,2015-12,Current Liabilities,76092
AAPL,2015-12,Debt Non-Current,53204
AAPL,2015-12,Deferred Revenue,12535
AAPL,2015-12,Tax Liabilities,0
AAPL,2015-12,Deposit Liabilities,0
AAPL,2015-12,Liabilities Non-Current,88925
AAPL,2015-12,Total Liabilities,165017
AAPL,2015-12,Accumulated Other Comprehensive Income,-1480
AAPL,2015-12,Accumulated Retained Earnings (Deficit),101494
AAPL,2015-12,Shareholders Equity,128267
AAPL,2015-12,Investments,199050
AAPL,2015-12,Total Debt,62963
AAPL,2015-12,Cash and Short Term Investments,38074
AAPL,2015-09,Cash and Equivalents,21120
AAPL,2015-09,Investments Current,20481
AAPL,2015-09,Trade and Non-Trade Receivables,30343
AAPL,2015-09,Inventory,2349
AAPL,2015-09,Current Assets,89378
AAPL,2015-09,Property, Plant & Equipment Net,22471
AAPL,2015-09,Goodwill and Intangible Assets,9009
AAPL,2015-09,Investments Non-Current,164065
AAPL,2015-09,Tax Assets,0
AAPL,2015-09,Assets Non-Current,200967
AAPL,2015-09,Total Assets,290345
AAPL,2015-09,Trade and Non-Trade Payables,35490
