Symbol,Date,Open,High,Low,Close,Volume,Adjusted,EPS,Dividend
AAPL,2016-01-04,106.198,109.055,105.567,105.349998,67649400,101.790649,9.26,2.03
AAPL,2016-01-05,109.448,109.551,105.991,102.709999,55791000,99.239845,9.26,2.03
AAPL,2016-01-06,104.076,105.95,103.362,100.699997,68457400,97.29776,9.26,2.03
AAPL,2016-01-07,102.131,103.631,99.802,96.449997,81094400,93.191338,9.26,2.03
AAPL,2016-01-08,101.996,102.576,100.143,96.959999,70798000,93.68412,9.26,2.03
AAPL,2016-01-11,102.431,102.524,100.744,98.529999,49739400,95.201073,9.26,2.03
AAPL,2016-01-12,104.066,104.211,102.296,99.959999,49154200,96.582756,9.26,2.03
AAPL,2016-01-13,103.828,104.728,100.702,97.389999,62439600,94.099594,9.26,2.03
AAPL,2016-01-14,101.385,103.994,99.088,99.519997,63170100,96.157608,9.26,2.03
AAPL,2016-01-15,99.564,101.127,98.694,97.129997,79010000,93.848373,9.26,2.03
AAPL,2016-01-19,101.851,102.1,98.839,96.660004,53087700,93.394257,9.26,2.03
AAPL,2016-01-20,98.425,101.623,96.687,96.790001,72334400,93.519867,9.26,2.03
AAPL,2016-01-21,100.454,101.303,98.26,96.300003,52161500,93.046417,9.26,2.03
AAPL,2016-01-22,102.079,105.008,101.81,101.419998,65800500,97.993423,9.26,2.03
AAPL,2016-01-25,105.07,105.08,102.679,99.440002,51794500,96.080322,9.26,2.03
AAPL,2016-01-26,103.424,104.408,101.499,99.989998,75077000,96.61174,9.26,2.03
AAPL,2016-01-27,99.398,100.009,96.604,93.419998,133369700,90.263725,9.26,2.03
AAPL,2016-01-28,97.07,97.825,95.621,94.089996,55678800,90.911087,9.26,2.03
AAPL,2016-01-29,98.105,100.744,97.649,97.339996,64416500,94.05127,9.26,2.03
AAPL,2016-02-01,99.843,100.092,98.736,96.43,40943500,93.172028,9.48,2.03
AAPL,2016-02-02,98.757,99.398,97.577,94.480003,37357200,91.28791,9.48,2.03
AAPL,2016-02-03,98.322,100.226,97.37,96.349998,45964300,93.094734,9.48,2.03
AAPL,2016-02-04,98.677,100.19,97.987,96.599998,46471700,93.842743,9.48,2.08
AAPL,2016-02-05,99.356,99.768,96.443,94.019997,46418100,91.336388,9.48,2.08
AAPL,2016-02-08,95.866,98.512,95.774,95.010002,54021400,92.298134,9.48,2.08
